"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Type.of.Breach","Location.of.Breached.Information","month","year"
"Hampton-Newport News Community Services Board","VA","Healthcare Provider",44312,"Hacking/IT Incident","Network Server",1,2024
"InHealth Technologies","CA","Healthcare Provider",12143,"Hacking/IT Incident","Network Server",1,2024
"Burr & Forman LLP","AL","Business Associate",19893,"Hacking/IT Incident","Network Server",1,2024
"Coastal Plains Community Mental Health Mental Retardation Center","TX","Healthcare Provider",500,"Hacking/IT Incident","Network Server",1,2024
"Concentra Health Services, Inc.","TX","Healthcare Provider",3998163,"Hacking/IT Incident","Network Server",1,2024
"Psychological Holdings, PLLC d/b/a Senior PsychCare","TX","Healthcare Provider",75349,"Hacking/IT Incident","Network Server",1,2024
"Sharp Health Plan","CA","Health Plan",8200,"Unauthorized Access/Disclosure","Paper/Films",1,2024
"Sharp Health Plan","CA","Health Plan",9255,"Hacking/IT Incident","Network Server",1,2024
"Catholic Heath Initiative Trinity Medical Center","OH","Healthcare Provider",797,"Hacking/IT Incident","Network Server",1,2024
"Dignity Health Nevada St. Rose Dominican Hospital ","NV","Healthcare Provider",2652,"Hacking/IT Incident","Network Server",1,2024
"The Harris Center for Mental Health and IDD","TX","Healthcare Provider",238463,"Hacking/IT Incident","Network Server",1,2024
"Daleville Dental II LLC","AL","Healthcare Provider",500,"Hacking/IT Incident","Network Server",1,2024
"Veterans Health Administration","DC","Healthcare Provider",2380,"Unauthorized Access/Disclosure","Paper/Films",1,2024
"Tampa Bay Surgical Group   ","FL","Healthcare Provider",1107,"Loss","Other Portable Electronic Device",1,2024
"Cooper Clinic, P.A. ","TX","Healthcare Provider",124341,"Hacking/IT Incident","Network Server",1,2024
"Fincantieri Marine Group, LLC","DC","Health Plan",11535,"Hacking/IT Incident","Network Server",1,2024
"ConsensioHealth, LLC","WI","Business Associate",60871,"Hacking/IT Incident","Network Server",1,2024
"Morgan Stanley Health Benefits and Insurance Plan","NY","Health Plan",2442,"Hacking/IT Incident","Network Server",1,2024
"Northern Inyo Healthcare District","CA","Healthcare Provider",1305,"Hacking/IT Incident","Network Server",1,2024
"Amerigroup Iowa, Inc","IN","Business Associate",1023,"Unauthorized Access/Disclosure","Network Server",1,2024
"Midwest Long Term Care Services DBA Senior Scripts","MO","Healthcare Provider",10566,"Hacking/IT Incident","Network Server",1,2024
"Community Tri-County Healthcare","AL","Healthcare Provider",5809,"Hacking/IT Incident","Network Server",1,2024
"Keystone First","PA","Health Plan",1965,"Hacking/IT Incident","Network Server",1,2024
"HMG Healthcare, LLC","TX","Healthcare Provider",80000,"Hacking/IT Incident","Network Server",12,2023
"EDI Health Group dba DentalXChange","CA","Healthcare Clearing House",2574,"Hacking/IT Incident","Network Server",12,2023
"Electrostim Medical Services, Inc. d/b/A EMSI","FL","Healthcare Provider",542990,"Hacking/IT Incident","Network Server",12,2023
"Fred Hutchinson Cancer Center","WA","Healthcare Provider",544,"Loss","Laptop",12,2023
"Lake County Health Department and Community Health Center","IL","Healthcare Provider",5000,"Hacking/IT Incident","Email",12,2023
"Meridian Behavioral Healthcare, Inc.","FL","Healthcare Provider",98808,"Hacking/IT Incident","Network Server",12,2023
"Mountain Dermatology Specialists, PC","CO","Healthcare Provider",2705,"Hacking/IT Incident","Email",12,2023
"Eye Physicians of Central Florida, PLLC, a division of Florida Pediatric Associates, LLC","FL","Healthcare Provider",31189,"Hacking/IT Incident","Network Server",12,2023
"Highlands Oncology Group PA","AR","Healthcare Provider",55297,"Hacking/IT Incident","Desktop Computer, Network Server",12,2023
"Kent County Community Mental Health Authority d/b/a Network180 ","MI","Healthcare Provider",59334,"Hacking/IT Incident","Email",12,2023
"County of Los Angeles Department of Mental Health","CA","Healthcare Provider",1284,"Hacking/IT Incident","Email",12,2023
"Clay County Social Services","MN","Business Associate",123807,"Hacking/IT Incident","Network Server",12,2023
"NYC Health + Hospitals","NY","Healthcare Provider",1500,"Unauthorized Access/Disclosure","Desktop Computer, Paper/Films",12,2023
"The Foleck Center, LTD","VA","Healthcare Provider",6965,"Hacking/IT Incident","Email",12,2023
"Retina Group of Washington, PLLC","MD","Healthcare Provider",455935,"Hacking/IT Incident","Network Server",12,2023
"Fred Hutchinson Cancer Center","WA","Healthcare Provider",890959,"Hacking/IT Incident","Network Server",12,2023
"HealthEC LLC","NJ","Business Associate",4656293,"Hacking/IT Incident","Network Server",12,2023
"Molina Healthcare of Ohio, Inc. ","CA","Health Plan",1977,"Unauthorized Access/Disclosure","Paper/Films",12,2023
"AccessDx Laboratory, LLC","TX","Healthcare Provider",535,"Hacking/IT Incident","Email",12,2023
"Insurance ACE/Humana Inc.","KY","Health Plan",2844,"Hacking/IT Incident","Network Server",12,2023
"360 Physical Therapy, LLC","ND","Healthcare Provider",520,"Theft","Paper/Films",12,2023
"First Choice Dental","WI","Healthcare Provider",1000,"Hacking/IT Incident","Network Server",12,2023
"Southeastern Orthopaedic Specialists, PA","NC","Healthcare Provider",35533,"Hacking/IT Incident","Network Server",12,2023
"Plaza Radiology, LLC","TN","Healthcare Provider",569022,"Hacking/IT Incident","Desktop Computer, Network Server",12,2023
"CompleteCare Health Network","NJ","Healthcare Provider",313973,"Hacking/IT Incident","Network Server",12,2023
"Michigan Orthopaedic Surgeons ","MI","Healthcare Provider",67477,"Hacking/IT Incident","Email",12,2023
"ZOLL Medical Corporation ","MA","Health Plan",8898,"Hacking/IT Incident","Email",12,2023
"ESO Solutions, Inc. ","TX","Business Associate",2700000,"Hacking/IT Incident","Network Server",12,2023
"Dallas County","TX","Healthcare Provider",501,"Hacking/IT Incident","Network Server",12,2023
"Primary Health & Wellness Center, LLC ","MD","Healthcare Provider",4792,"Hacking/IT Incident","Network Server",12,2023
"Community Memorial Healthcare, Inc.","KS","Healthcare Provider",14798,"Hacking/IT Incident","Network Server",12,2023
"Erie Family Health Center, Inc. d/b/a Erie Family Health Centers","IL","Healthcare Provider",6351,"Hacking/IT Incident","Email",12,2023
"Eyefinity, Inc.","CA","Business Associate",1353,"Unauthorized Access/Disclosure","Network Server",12,2023
"D'Youville Life and Wellness Community, Inc.","MA","Healthcare Provider",501,"Hacking/IT Incident","Network Server",12,2023
"Mount Carmel Care Center","MA","Healthcare Provider",501,"Hacking/IT Incident","Network Server",12,2023
"Discount Emporium, Inc. d/b/a Drug Emporium","WV","Healthcare Provider",2500,"Hacking/IT Incident","Network Server",12,2023
"City of Hope","CA","Healthcare Provider",501,"Hacking/IT Incident","Network Server",12,2023
"Health Diagnostic Management, LLC","NY","Business Associate",1863,"Hacking/IT Incident","Network Server",12,2023
"Regional Family Medicine","AR","Healthcare Provider",80166,"Hacking/IT Incident","Network Server",12,2023
"Cardiothoracic and Vascular Surgeons, P.A.","TX","Healthcare Provider",500,"Hacking/IT Incident","Network Server",12,2023
"Heart of Texas Behavioral Health Network ","TX","Healthcare Provider",63776,"Hacking/IT Incident","Network Server",12,2023
"Healix Infusion Therapy, LLC","TX","Business Associate",8341,"Hacking/IT Incident","Network Server",12,2023
"Keenan & Associates","CA","Health Plan",4631,"Hacking/IT Incident","Network Server",12,2023
"Health Alliance Hospital Mary's Avenue Campus","NY","Healthcare Provider",264197,"Hacking/IT Incident","Network Server",12,2023
"New Partners, Inc. d/b/a VNS Health Personal Care","NY","Healthcare Provider",5175,"Hacking/IT Incident","Email",12,2023
"VNS CHOICE d/b/a VNS Health Health Plans","NY","Health Plan",13584,"Hacking/IT Incident","Email",12,2023
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan",4264,"Hacking/IT Incident","Email",12,2023
"Mercy Medical Center","IA","Healthcare Provider",97132,"Hacking/IT Incident","Network Server",12,2023
"Independent Living Systems, LLC","FL","Healthcare Provider",19303,"Hacking/IT Incident","Network Server",12,2023
"Independent Living Systems, LLC","FL","Business Associate",123651,"Hacking/IT Incident","Network Server",12,2023
"City of Homer","AK","Healthcare Provider",1412,"Loss","Other Portable Electronic Device",12,2023
"Wichita Urology Group ","KS","Healthcare Provider",5314,"Hacking/IT Incident","Network Server",12,2023
"Affinity Legacy, Inc.","NY","Health Plan",5538,"Hacking/IT Incident","Network Server",12,2023
"Prime Healthcare","CA","Healthcare Provider",7185,"Hacking/IT Incident","Network Server",12,2023
"Akumin Operating Corp.","FL","Healthcare Provider",7127,"Hacking/IT Incident","Network Server",12,2023
"Hi-School Pharmacy","WA","Healthcare Provider",12779,"Hacking/IT Incident","Network Server",12,2023
"Waterford Country School","CT","Healthcare Provider",500,"Hacking/IT Incident","Network Server",12,2023
"Pan-American Life Insurance Group, Inc.","LA","Business Associate",94807,"Hacking/IT Incident","Network Server",12,2023
"Leggett & Platt Incorporated Employee Benefit Fund","MO","Health Plan",1200,"Hacking/IT Incident","Network Server",12,2023
"Neurosurgical Associates of New Jersey","NJ","Healthcare Provider",500,"Unauthorized Access/Disclosure","Network Server",12,2023
"4 Over LLC Group Health Plan","CA","Health Plan",6491,"Hacking/IT Incident","Network Server",12,2023
"Pan-American Life Insurance Group, Inc.","LA","Health Plan",105387,"Hacking/IT Incident","Network Server",12,2023
"KY Cabinet for Health and Family Services (CHFS)","KY","Healthcare Provider",2062,"Hacking/IT Incident","Network Server",12,2023
"Strategic Management LLC","MS","Business Associate",648,"Hacking/IT Incident","Email",12,2023
"Cardiovascular Consultants Ltd. ","AZ","Healthcare Provider",484000,"Hacking/IT Incident","Network Server",12,2023
"The Children’s Home of Wyoming Conference","NY","Healthcare Provider",1111,"Hacking/IT Incident","Network Server",12,2023
"Community Healthcare Network, Inc. ","NY","Healthcare Provider",500,"Hacking/IT Incident","Network Server",11,2023
"F&E Aviation Holdings, Inc.","FL","Health Plan",3097,"Hacking/IT Incident","Network Server",11,2023
"Chesapeake Regional Healthcare","VA","Healthcare Provider",31679,"Hacking/IT Incident","Network Server",11,2023
"W.P. Malone, Inc. d/b/a AllCare Pharmacy","AR","Healthcare Provider",16341,"Hacking/IT Incident","Network Server",11,2023
"County of Rock, WI","WI","Healthcare Provider",25823,"Hacking/IT Incident","Network Server",11,2023
"Columbia County Child Abuse Assessment Center dba The Amani Center","OR","Healthcare Provider",2374,"Hacking/IT Incident","Email",11,2023
"Foursquare Healthcare, Ltd.","TX","Healthcare Provider",10890,"Hacking/IT Incident","Network Server",11,2023
"Inline Plastics Corp.","CT","Health Plan",4853,"Hacking/IT Incident","Network Server",11,2023
"Equality Health, LLC","AZ","Healthcare Provider",9240,"Hacking/IT Incident","Email",11,2023
"Oak Street Health","IL","Healthcare Provider",3238,"Unauthorized Access/Disclosure","Paper/Films",11,2023
"Montrose Behavioral Health Hospital, Inc.","IL","Healthcare Provider",597,"Hacking/IT Incident","Email",11,2023
"Morrison Community Hospital District","IL","Healthcare Provider",122488,"Hacking/IT Incident","Network Server",11,2023
"Molina Healthcare of Iowa, Inc.","IA","Business Associate",1647,"Hacking/IT Incident","Email",11,2023
"Saisystems International, Inc. ","CT","Business Associate",10063,"Hacking/IT Incident","Network Server",11,2023
"Sierra County (Department of Public Health, Department of Behavioral Health) ","CA","Healthcare Provider",2463,"Hacking/IT Incident","Email",11,2023
"East River Medical Imaging, PC","NY","Healthcare Provider",605809,"Hacking/IT Incident","Network Server",11,2023
"The Charles Lea Center","SC","Healthcare Provider",1250,"Hacking/IT Incident","Network Server",11,2023
"Northwest Eye Care Professionals","OR","Healthcare Provider",950,"Hacking/IT Incident","Network Server",11,2023
"Columbus Aesthetic and Plastic Surgery","OH","Healthcare Provider",12677,"Hacking/IT Incident","Network Server",11,2023
"Berry, Dunn, McNeil & Parker, LLC","ME","Business Associate",500,"Hacking/IT Incident","Network Server",11,2023
"U.S. Drug Mart, Inc.","TX","Healthcare Provider",13016,"Hacking/IT Incident","Network Server, Other",11,2023
"TGI Direct, Inc.","MI","Business Associate",16113,"Hacking/IT Incident","Network Server",11,2023
"Detroit Chassis, LLC","MI","Health Plan",958,"Hacking/IT Incident","Network Server",11,2023
"Proliance Surgeons","WA","Healthcare Provider",437392,"Hacking/IT Incident","Network Server",11,2023
"1st Source Bank","IN","Business Associate",1477,"Hacking/IT Incident","Network Server",11,2023
"Jacksonville Children's and Multispecialty Clinic","NC","Healthcare Provider",40000,"Hacking/IT Incident","Network Server",11,2023
"CKF Addiction Treatment, Inc.","KS","Healthcare Provider",501,"Hacking/IT Incident","Email",11,2023
"Community Health Network, Inc.","IN","Healthcare Provider",2271,"Hacking/IT Incident","Email, Other",11,2023
"Psychiatry Associates of Kansas City","KS","Healthcare Provider",18255,"Hacking/IT Incident","Network Server",11,2023
"Wyoming County Community Health System","NY","Healthcare Provider",26000,"Hacking/IT Incident","Network Server",11,2023
"State of Maine","ME","Health Plan",376504,"Hacking/IT Incident","Network Server",11,2023
"Rock Valley Physical Therapy Center","IL","Healthcare Provider",2421,"Unauthorized Access/Disclosure","Email",11,2023
"CareTree, Inc.","IL","Business Associate",1097,"Hacking/IT Incident","Network Server",11,2023
"Westside Community Services","CA","Healthcare Provider",2484,"Hacking/IT Incident","Network Server",11,2023
"International Paper Company Group Health and Welfare Plan (the ""IP Plan"")","TN","Health Plan",78692,"Hacking/IT Incident","Network Server",11,2023
"Medical Eye Services, Inc.","NY","Business Associate",377931,"Hacking/IT Incident","Network Server",11,2023
"Endocrine and Psychiatry Center","TX","Healthcare Provider",28531,"Hacking/IT Incident","Network Server",11,2023
"Southwest Behavioral Health Center","UT","Healthcare Provider",17147,"Hacking/IT Incident","Network Server",11,2023
"CBIZ KA Consulting Services, LLC","NJ","Business Associate",30806,"Hacking/IT Incident","Network Server",11,2023
"Woodfords Family Services","ME","Healthcare Provider",6691,"Hacking/IT Incident","Network Server",11,2023
"Southland Integrated Services, Inc.","CA","Healthcare Provider",7988,"Hacking/IT Incident","Network Server",11,2023
"Healix Infusion Therapy, LLC","TX","Healthcare Provider",501,"Hacking/IT Incident","Network Server",11,2023
"Warren General Hospital ","PA","Healthcare Provider",168921,"Hacking/IT Incident","Network Server",11,2023
"Mariner Management Group ","OH","Healthcare Provider",1756,"Hacking/IT Incident","Network Server",11,2023
"BBRx Pharmacy","NY","Healthcare Provider",501,"Hacking/IT Incident","Network Server",11,2023
"Mannings 8th Ave Inc.","NY","Healthcare Provider",501,"Hacking/IT Incident","Network Server",11,2023
"Confucius Pharmacy","NY","Healthcare Provider",501,"Hacking/IT Incident","Network Server",11,2023
"Pharmacy Group of Mississippi, LLC","MS","Healthcare Provider",13129,"Hacking/IT Incident","Network Server",11,2023
"Prestige Care, Inc.","WA","Healthcare Provider",501,"Hacking/IT Incident","Network Server",11,2023
"Welltok, Inc.","CO","Business Associate",8493379,"Hacking/IT Incident","Network Server",11,2023
"Wyndemere Senior Care LLC","IL","Healthcare Provider",607,"Hacking/IT Incident","Network Server",11,2023
"WellLife Network Inc.","NY","Healthcare Provider",501,"Hacking/IT Incident","Network Server",11,2023
"Healthsoft LLC","GA","Business Associate",1000,"Hacking/IT Incident","Network Server",11,2023
"Financial Asset Management Systems (""FAMS"")","GA","Business Associate",164796,"Hacking/IT Incident","Network Server",11,2023
"South Austin Health Imaging LLC dba Longhorn Imaging Center","TX","Healthcare Provider",100643,"Hacking/IT Incident","Network Server",11,2023
"Perry Johnson & Associates, Inc., which does business as PJ&A","NV","Business Associate",8952212,"Hacking/IT Incident","Network Server",11,2023
"Catholic Charities of the Diocese of Rockville Centre d/b/a Catholic Charities of Long Island","NY","Healthcare Provider",13000,"Hacking/IT Incident","Network Server",11,2023
"Youth and Shelter Services, Inc.","IA","Healthcare Provider",501,"Hacking/IT Incident","Network Server",11,2023
"WACOSA","MN","Healthcare Provider",1380,"Hacking/IT Incident","Network Server",11,2023
"Westat, Inc.","MD","Business Associate",20045,"Hacking/IT Incident","Network Server",11,2023
"Mulkay Cardiology Consultants at Holy Name Medical Center, P.C.","NJ","Healthcare Provider",79582,"Hacking/IT Incident","Network Server",11,2023
"Postmeds, Inc.","CA","Healthcare Provider",2364359,"Hacking/IT Incident","Network Server",10,2023
"Longhorn Village","TX","Healthcare Provider",1670,"Hacking/IT Incident","Email",10,2023
"Frederiksted Health Care, Inc.","","Healthcare Provider",600,"Hacking/IT Incident","Network Server",10,2023
"Northern Iowa Therapy PC","IA","Business Associate",5100,"Hacking/IT Incident","Network Server",10,2023
"JDA eHealth Systems, Inc. d/b/a Parathon","IL","Business Associate",8099,"Hacking/IT Incident","Network Server",10,2023
"PeakMed","CO","Healthcare Provider",27800,"Hacking/IT Incident","Network Server",10,2023
"Pause Pain & Wellness","MS","Healthcare Provider",777,"Unauthorized Access/Disclosure","Email",10,2023
"Hospital Sisters Health System","IL","Business Associate",500,"Hacking/IT Incident","Network Server",10,2023
"Greater Rochester Independent Practice Association, Inc.","NY","Healthcare Provider",279156,"Hacking/IT Incident","Network Server",10,2023
"Western Washington Medical Group ","MS","Healthcare Provider",350863,"Hacking/IT Incident","Network Server",10,2023
"Fredericksburg Foot & Ankle Center, PLC","VA","Healthcare Provider",14912,"Hacking/IT Incident","Network Server",10,2023
"Edward C. Taylor, PhD., PL","FL","Healthcare Provider",6684,"Hacking/IT Incident","Desktop Computer, Network Server",10,2023
"LCS Financial Services","CO","Business Associate",768,"Hacking/IT Incident","Network Server",10,2023
"eleHealth","LA","Business Associate",2187,"Unauthorized Access/Disclosure","Paper/Films",10,2023
"University of Michigan, on behalf of certain HIPAA-covered functions of the University that operate as a HIPAA hybrid entity","MI","Healthcare Provider",61033,"Hacking/IT Incident","Network Server",10,2023
"Dakota Eye Institute","ND","Healthcare Provider",107143,"Hacking/IT Incident","Network Server",10,2023
"La Red Health Center","DE","Healthcare Provider",39759,"Hacking/IT Incident","Network Server",10,2023
"McLaren Health Care","MI","Healthcare Provider",501,"Hacking/IT Incident","Network Server",10,2023
"City of Philadelphia ","PA","Health Plan",501,"Hacking/IT Incident","Email",10,2023
"Radius Global Solutions","PA","Business Associate",135742,"Hacking/IT Incident","Network Server",10,2023
"Counseling and Recovery Services of Oklahoma","OK","Healthcare Provider",3365,"Hacking/IT Incident","Email",10,2023
"Hospital & Medical Foundation of Paris, Inc","IL","Healthcare Provider",16598,"Hacking/IT Incident","Network Server",10,2023
"Napa Integrated Medicine PC","CA","Business Associate",600,"Theft","Desktop Computer",10,2023
"Oscar Insurance Company of Florida","NY","Health Plan",1045,"Hacking/IT Incident","Network Server",10,2023
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport","MS","Healthcare Provider",501,"Hacking/IT Incident","Network Server",10,2023
"BHI Energy Health and Welfare Benefits Plan","MA","Health Plan",4049,"Hacking/IT Incident","Network Server",10,2023
"Helping the Aging Needy and Disabled Inc","TX","Healthcare Provider",628,"Hacking/IT Incident","Email",10,2023
"Peerstar LLC","PA","Healthcare Provider",11438,"Hacking/IT Incident","Network Server",10,2023
"Westat, Inc.","MD","Business Associate",51513,"Hacking/IT Incident","Network Server",10,2023
"Atlas Healthcare CT","CT","Healthcare Provider",10831,"Unauthorized Access/Disclosure","Network Server",10,2023
"NASCO","GA","Business Associate",2956,"Hacking/IT Incident","Network Server",10,2023
"BHS Physician Network, Inc. ","TX","Healthcare Provider",1857,"Hacking/IT Incident","Email",10,2023
"Data Media Associates","GA","Business Associate",2035,"Unauthorized Access/Disclosure","Paper/Films",10,2023
"Fellowship Village","NJ","Healthcare Provider",501,"Hacking/IT Incident","Network Server",10,2023
"Neurovative Diagnostics, LLC","TX","Healthcare Provider",1599,"Unauthorized Access/Disclosure","Email",10,2023
"Carle Health ","IL","Healthcare Provider",679,"Hacking/IT Incident","Network Server",10,2023
"Region 4 South Mental Health Consortium","MN","Healthcare Provider",571,"Hacking/IT Incident","Network Server",10,2023
"Borgfeld Dental Center PLLC dba Henwood Family Dentistry","TX","Healthcare Provider",7300,"Unauthorized Access/Disclosure","Electronic Medical Record, Network Server",10,2023
"Arietis Health, LLC","FL","Business Associate",1975066,"Hacking/IT Incident","Network Server",9,2023
"Piedmont Healthcare, Inc.","GA","Healthcare Provider",895,"Hacking/IT Incident","Network Server",9,2023
"Valley Mountain Regional Center ","CA","Business Associate",126679,"Hacking/IT Incident","Network Server",9,2023
"Physio Logic Medicine, PC","NY","Healthcare Provider",1280,"Hacking/IT Incident","Network Server",9,2023
"International Business Machines Corporation","NY","Business Associate",630755,"Unauthorized Access/Disclosure","Other",9,2023
"Physio Logic Chiropractic and Physical Therapy, PLLC and Dr. Patty DiBlasio, PC","NY","Healthcare Provider",9580,"Hacking/IT Incident","Network Server",9,2023
"Georgia Northside Ear, Nose, and Throat, LLC.","TX","Healthcare Provider",37774,"Hacking/IT Incident","Email",9,2023
"Greater Dallas Healthcare Enterprises","TX","Healthcare Provider",143833,"Hacking/IT Incident","Email",9,2023
"South Florida Behavioral Health Network ","FL","Business Associate",2729,"Hacking/IT Incident","Network Server",9,2023
"Acadia Health, LLC d/b/a Just Kids Dental","AL","Healthcare Provider",129463,"Hacking/IT Incident","Network Server",9,2023
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators","KY","Healthcare Provider",6814,"Hacking/IT Incident","Email",9,2023
"Entertainment Community Fund, dba Actors Fund Home","NJ","Healthcare Provider",1110,"Hacking/IT Incident","Network Server",9,2023
"AIDS Alabama, Inc.","AL","Healthcare Provider",1922,"Hacking/IT Incident","Network Server",9,2023
"Community First Medical Center","IL","Healthcare Provider",216047,"Hacking/IT Incident","Network Server",9,2023
"Riverdale Mental Health d/b/a Mosaic Mental Health ","NY","Healthcare Provider",7281,"Hacking/IT Incident","Network Server",9,2023
"Tangoe, Inc.","IN","Health Plan",718,"Hacking/IT Incident","Network Server",9,2023
"Cook County Health and Hospitals System","IL","Healthcare Provider",500,"Hacking/IT Incident","Network Server",9,2023
"Navvis & Company, LLC","MO","Business Associate",917,"Hacking/IT Incident","Network Server",9,2023
"OrthoAlaska, LLC","AK","Healthcare Provider",176203,"Hacking/IT Incident","Network Server",9,2023
"Clover Health LLC","NJ","Health Plan",2834,"Unauthorized Access/Disclosure","Network Server",9,2023
"Indiana University Health","IN","Healthcare Provider",4194,"Hacking/IT Incident","Network Server",9,2023
"Health First, Inc.","FL","Healthcare Provider",14171,"Hacking/IT Incident","Email",9,2023
"Wellstar Health System","GA","Healthcare Provider",728,"Hacking/IT Incident","Network Server",9,2023
"Lakeview Clinic ","MN","Healthcare Provider",624,"Unauthorized Access/Disclosure","Email",9,2023
"Arkansas Total Care, Inc.","AR","Health Plan",578,"Hacking/IT Incident","Network Server",9,2023
"Elevate Patient Financial Solutions","TX","Business Associate",5364,"Unauthorized Access/Disclosure","Paper/Films",9,2023
"Erlanger Health, Inc.","TN","Healthcare Provider",2753,"Hacking/IT Incident","Network Server",9,2023
"Temple University Health System,Inc.","PA","Healthcare Provider",430381,"Hacking/IT Incident","Network Server",9,2023
"Founder Project Rx, Inc.","TX","Healthcare Provider",30836,"Hacking/IT Incident","Email",9,2023
"Peach State Health Plan","GA","Health Plan",1246,"Hacking/IT Incident","Network Server",9,2023
"Advocates for a Healthy Community Inc dba Jordan Valley Community Health Center","MO","Healthcare Provider",2502,"Unauthorized Access/Disclosure","Electronic Medical Record",9,2023
"VA Dept. of Medical Assistance Services","VA","Health Plan",928,"Hacking/IT Incident","Network Server",9,2023
"Pharm-Pacc Corporation","FL","Business Associate",3749,"Hacking/IT Incident","Network Server",9,2023
"Sutter North Surgery Center ","CA","Healthcare Provider",861,"Hacking/IT Incident","Network Server",9,2023
"Laboratory Corporation of America Holdings dba LabCorp","NC","Healthcare Provider",1431,"Unauthorized Access/Disclosure","Paper/Films",9,2023
"Ryders Health Management LLC ","CT","Healthcare Provider",7252,"Hacking/IT Incident","Network Server",9,2023
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan",315915,"Unauthorized Access/Disclosure","Network Server",9,2023
"Amerita","KS","Healthcare Provider",219707,"Hacking/IT Incident","Network Server",9,2023
"Delta Dental of California","CA","Health Plan",501,"Hacking/IT Incident","Network Server",9,2023
"Georgia Hand, Shoulder & Elbow, PC","GA","Healthcare Provider",20498,"Hacking/IT Incident","Email",9,2023
"Bloom Health Centers","MD","Healthcare Provider",1545,"Unauthorized Access/Disclosure","Email",9,2023
"North Mississippi Medical Center, Inc.","MS","Healthcare Provider",950,"Hacking/IT Incident","Email",9,2023
"MedMinder Systems, Inc.","MA","Healthcare Provider",12146,"Hacking/IT Incident","Network Server",9,2023
"Enzo Clinical Labs, Inc.","NY","Healthcare Provider",1700,"Hacking/IT Incident","Network Server",8,2023
"Mountain View Family Practice, PC","MA","Healthcare Provider",5139,"Hacking/IT Incident","Electronic Medical Record, Network Server",8,2023
"PurFoods, LLC","IA","Healthcare Provider",1229333,"Hacking/IT Incident","Network Server",8,2023
"Associates in Pediatric Dentistry","LA","Healthcare Provider",9703,"Hacking/IT Incident","Email",8,2023
"Data Media Associates","GA","Business Associate",74730,"Hacking/IT Incident","Other",8,2023
"Detroit Central City Community Mental Health","MI","Healthcare Provider",1412,"Hacking/IT Incident","Email",8,2023
"Milan Eye Center","GA","Healthcare Provider",67336,"Hacking/IT Incident","Network Server",8,2023
"PRIME THERAPEUTICS LLC","MN","Business Associate",6050,"Hacking/IT Incident","Network Server",8,2023
"Vecino Health Centers","TX","Healthcare Provider",1339,"Hacking/IT Incident","Network Server",8,2023
"Serco Inc. Group Health Plan","VA","Health Plan",10140,"Hacking/IT Incident","Network Server",8,2023
"Absolute Dental Services","NC","Business Associate",10037,"Hacking/IT Incident","Email",8,2023
"McAlester Regional Health Center","OK","Healthcare Provider",37731,"Hacking/IT Incident","Desktop Computer, Network Server",8,2023
"Advanced Reproductive Health Center Ltd., d/b/a Chicago IVF","IL","Healthcare Provider",2603,"Hacking/IT Incident","Network Server",8,2023
"UofL Health ","KY","Healthcare Provider",8175,"Hacking/IT Incident","Network Server",8,2023
"Aspen Dental Management, Inc.","NY","Business Associate",62183,"Hacking/IT Incident","Network Server",8,2023
"TAG Urgent Care Support Services, LLC","NY","Business Associate",516985,"Hacking/IT Incident","Network Server",8,2023
"SouthCoast Medical Group, LLC","GA","Healthcare Provider",501,"Hacking/IT Incident","Network Server",8,2023
"Morris Hospital & Healthcare Centers","IL","Healthcare Provider",248943,"Hacking/IT Incident","Network Server",8,2023
"The Harris Center for Mental Health and IDD","TX","Healthcare Provider",599367,"Hacking/IT Incident","Network Server",8,2023
"SysInformation Healthcare Services, LLC","TX","Business Associate",501,"Hacking/IT Incident","Network Server",8,2023
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan",527,"Hacking/IT Incident","Network Server",8,2023
"Baesman Group, Inc.","OH","Business Associate",24757,"Hacking/IT Incident","Network Server",8,2023
"SUNY at Buffalo School of Dental Medicine","NY","Healthcare Provider",765,"Hacking/IT Incident","Network Server",8,2023
"Kennedy University Hospital, Inc. t/a Jefferson Health ","NJ","Healthcare Provider",4140,"Unauthorized Access/Disclosure","Other Portable Electronic Device",8,2023
"University of Utah ","UT","Health Plan",3914,"Hacking/IT Incident","Network Server",8,2023
"Monocacy Valley Dental Brian K. Motz, DDS, PC","MD","Healthcare Provider",4000,"Theft","Laptop",8,2023
"Nice Pak Products Inc., Health and Welfare Benefits Plan","NJ","Health Plan",8487,"Hacking/IT Incident","Network Server",8,2023
"TRACT Radiology","MS","Business Associate",7810,"Hacking/IT Incident","Network Server",8,2023
"VNS Health Plans","NY","Health Plan",103775,"Hacking/IT Incident","Network Server",8,2023
"Colorado Department of Health Care Policy & Financing","CO","Health Plan",4091794,"Hacking/IT Incident","Network Server",8,2023
"El Centro Del Barrio d/b/a CentroMed","TX","Healthcare Provider",350000,"Hacking/IT Incident","Network Server",8,2023
"Coastal Orthopedics & Sports Medicine of Southwest Florida","FL","Healthcare Provider",501,"Hacking/IT Incident","Network Server",8,2023
